AG359J14	AG896J04	AG898O07	AG900B21	AG905C17	AG915K04	AG918E15	GCA002480175	HIMB30	LSUCC0096	TOBGMED626	TOBGMED759	TOBGMED814	TOBGNAT109	TOBGNP1444	TOBGNP1472	TOBGRS469	TOBGSAT133	TOBGSP353	UBA11144	UBA11194	UBA12265	UBA8357	UBA9601	UBA9605
ASE_66_05M	58781.8123253158	33056.8156945242	35276.9507670891	60995.869641208	51325.2271324106	25245.0615772817	20025.2991718882	24439.5042205941	37561.5838597112	71817.5755467617	9323.53563495861	3554.56423491613	6715.49037530348	110725.14325001	48360.6545637815	21089.9929669652	6184.86734170721	21084.3688873225	81686.8714764558	30691.160600722	203682.096704357	7012.87650764752	151.390590230522	220.844132596669	30990.442796241
ASE_67_05M	35360.4668516963	45052.5539739672	24374.0087828764	35518.9718201914	33929.6564876931	20549.9558164865	12306.0361331579	1848.7896753879	29439.0430935285	45424.1983904587	47872.4432766172	1473.40383009099	1425.91532860528	142708.424695225	53452.6097173081	335.257784531439	4300.38626792997	499.938395575334	60929.9173865486	48499.8401795202	38352.4194771293	56130.3954663006	36080.9355130905	49767.4524002028	174366.979255881
ASE_68_05M	17134.8721704031	8746.01150932711	13876.438736297	17278.0611575487	15879.540882032	9681.49822344984	5739.769569467	13349.9884451714	46408.6523731219	17921.0847189376	4783.20833318236	759.003931667086	2383.71667325317	28584.0076957535	15372.9748046153	1155.93582715729	668.901129880711	3051.59422125176	15802.7860904588	22414.816205483	727758.919049987	2669.2606784192	141.060394191361	0	8437.89717894358
ASE_70_05M	22707.616329817	10203.9492861066	16083.9234782178	26612.7285951039	24412.1085444089	13770.1364105487	8947.42740050904	185981.66167138	80960.5581875743	23074.9796771926	1896.38385504875	1820.69912983583	8304.19581255949	56980.3387645862	34310.8570540217	134195.522019279	13868.5348204785	40102.3050328538	47799.8115344043	230294.198373851	1775.39960882119	4507.72908516457	0	0	11388.9353282365
ASW_72_05M	11794.0798034189	10736.4569733745	11770.3200017337	18343.8154459333	25769.3084099975	7182.42953033722	5520.67236847384	147175.987719886	44576.2883541737	12797.6583823875	274.987493991927	1576.66504451452	5368.63239039673	77057.2039833808	4894.51144858147	62259.4398113103	414699.753230241	94489.1058838878	6267.23046829088	15613.4203839628	14623.3568621322	972.337284596718	31.2557000433928	0	6205.0830249527
ASW_76_05M	13232.4408513955	5290.44626248063	31798.3816735004	87600.497033025	295466.380593487	17286.2063980201	11282.4089718334	101195.817099744	12794.3060028939	4244.04994642758	190.691902499708	2165.73429276386	19523.4460527311	54847.8201961558	2700.03125538973	6876.80576878123	226186.187646044	92484.7656572891	2533.7310453678	4734.53770069368	5050.3374539677	501.119171481679	122.16520922796	11.497484378038	1880.19433042091
ASW_78_05M	5745.31364543488	2833.91905928133	5677.96446698605	16074.0440340216	35343.1529421446	4731.87560515232	3502.491498738	406558.675339674	6917.50055525025	3924.29791891977	186.718307776104	14963.2881642166	5042.55113513534	93796.5930661594	5614.80522460052	10299.7257299522	71805.2043721566	286009.605530999	4097.2311769724	6720.6969723295	7817.78189673719	364.043236661489	19.4832490410496	0	1953.03687165981
ASW_82_05M	67912.8426051293	54439.1473406471	65670.6455529048	80127.2197560792	78614.9489596552	45067.6116217574	28723.8275627032	2160.20359111411	64071.4117934354	93872.8758266458	4394.98522365694	6016.82751221929	5366.13840494924	152434.093091896	9052.10451438345	44.7690619117737	75.7262487396103	4733.88314433256	13033.1433380696	29011.388388484	147913.111669893	12680.9672597573	51.9006704685628	454.267013558593	34075.9598476086
ION_36_05M	50735.487447217	18419.4475196734	15448.8298019122	54033.8112004265	42069.2046806528	16024.2435233047	13467.3964908866	24638.7865493728	50085.1397358203	31365.8029016688	3474.39120655555	2964.94561427986	26930.3151673381	154793.770315865	4248.45142020494	44457.9299450921	46283.0912078304	13789.2782356942	32764.3812121678	14807.9076508271	309548.000535692	6673.34639974541	991.859835479061	1536.21046678297	20447.9709355105
ION_38_05M	31903.0173217669	12989.0942231459	13957.1571915355	34375.2930231585	26735.0195959224	20366.67178711	11356.3150785892	65394.4624117805	49450.2231667828	25180.8749990433	979.033535720375	75715.9250633062	21105.6550344044	159303.926705606	5773.83456340986	75894.8507968424	159575.865384057	81849.2045693425	38342.8323672713	18690.0202093981	54361.8354005975	2796.39055223117	111.279164301911	0	13791.2178546763
