	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
MAL017_4002M	4002	4001-4050	4001-4100	ABY	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL050_4002M	4002	4001-4050	4001-4100	ABY	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL112_4002M	4002	4001-4050	4001-4100	ABY	N_ITCZ	PON	34.5-35.0	0-2.9
MAL146_4002M	4002	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL013_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL023_4003M	4003	4001-4050	4001-4100	ABY	S_ITCZ	AOS	34.5-35.0	0-2.9
MAL131_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL134_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL144_4003M	4003	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL067_4004M	4004	4001-4050	4001-4100	ABY	S_ITCZ	IOS	34.5-35.0	0-2.9
MAL109_4004M	4004	4001-4050	4001-4100	ABY	N_ITCZ	PON	34.5-35.0	0-2.9
MAL007_4005M	4005	4001-4050	4001-4100	ABY	N_ITCZ	AON	34.5-35.0	0-2.9
MAL103_4013M	4013	4001-4050	4001-4100	ABY	N_ITCZ	PON	34.5-35.0	0-2.9
MAL091_4018M	4018	4001-4050	4001-4100	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0438_4580M	4580	4551-4600	4501-4600	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0362_5095M	5095	5051-5100	5001-5100	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0336_5100M	5100	5051-5100	5001-5100	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
S0260_5601M	5601	5601-5650	5601-5700	ABY	S_ITCZ	POS	34.5-35.0	0-2.9
