	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
S0179_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	21-23.9
S0184_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	36.5-37.0	24-26.9
S0191_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	37.0-37.5	27-29.9
S0196_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	36.5-37.0	27-29.9
S0199_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	36.0-36.5	27-29.9
S0202_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	27-29.9
S0209_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	33.0-33.5	9.0-11.9
S0214_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	15-17.9
S0217_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	15-17.9
S0220_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	15-17.9
S0223_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	21-23.9
S0459_10M	10	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0147_11M	11	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	24-26.9
S0181_11M	11	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	24-26.9
S0211_11M	11	0-50	0-100	EPI	S_ITCZ	AOS	34.0-34.5	9.0-11.9
S0229_11M	11	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	21-23.9
ANW_146_05M	11.7	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	18-20.9
S0152_12M	12	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	27-29.9
S0273_13.8M	13.8	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0253_14M	14	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0350_14M	14	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0367_14M	14	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0283_14.9M	14.9	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0291_14.9M	14.9	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0261_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0299_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0345_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0355_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0363_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0377_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0379_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0389_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0394_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0399_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0406_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0411_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0444_15M	15	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0278_15.1M	15.1	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0322_15.1M	15.1	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0415_15.2M	15.2	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0306_15.4M	15.4	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0263_15.5M	15.5	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0301_15.5M	15.5	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0316_15.5M	15.5	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0311_15.6M	15.6	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0420_15.6M	15.6	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0372_16M	16	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0384_16M	16	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0426_16M	16	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0431_16M	16	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0268_16.1M	16.1	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0337_17M	17	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0439_17M	17	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
ION_36_17M	17.4	0-50	0-100	EPI	N_ITCZ	ION	36.0-36.5	24-26.9
S0448_21.1M	21.1	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
S0460_21.1M	21.1	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0490_21.1M	21.1	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
S0466_21.4M	21.4	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0478_21.4M	21.4	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0496_21.4M	21.4	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0472_21.6M	21.6	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
ION_39_25M	25.3	0-50	0-100	EPI	N_ITCZ	ION	36.0-36.5	24-26.9
S0378_28M	28	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	24-26.9
S0064_28.4M	28.4	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	18-20.9
S0317_28.4M	28.4	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	24-26.9
ASE_66_30M	30	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
S0284_29.3M	29.3	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0421_29.5M	29.5	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
PSE_109_30M	29.5	0-50	0-100	EPI	S_ITCZ	POS	34.0-34.5	24-26.9
S0269_29.9M	29.9	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0262_30M	29.9	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0264_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0351_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
